exposure,outcome,estimate,std.error,beta_std,Description,Category,Abbreviation,p.value,p_fdr,n
APOM,p23441_i0,0.0369469186026056,0.00300001492859261,0.0714795488108896,Ratio of apolipoprotein B to apolipoprotein A1,Lipoprotein,ApoB/ApoA1,9.09235268560323e-35,1.6751671524019e-34,29545
CD276,p23441_i0,-0.02404777,0.00238200022376183,-0.059945938,Ratio of apolipoprotein B to apolipoprotein A1,Lipoprotein,ApoB/ApoA1,6.31933608532996e-24,1.0424598213756e-23,29453
EGFR,p23441_i0,0.0573501963530184,0.00514338664716163,0.0651343600544929,Ratio of apolipoprotein B to apolipoprotein A1,Lipoprotein,ApoB/ApoA1,8.14142554504594e-29,1.40813431620948e-28,29818
GDF15,p23441_i0,-0.013296602,0.00184928474779726,-0.048144268,Ratio of apolipoprotein B to apolipoprotein A1,Lipoprotein,ApoB/ApoA1,6.62527406948022e-13,9.31936891931035e-13,29818
GHRL,p23441_i0,0.00364068839161248,0.00102486707749226,0.0215311270691595,Ratio of apolipoprotein B to apolipoprotein A1,Lipoprotein,ApoB/ApoA1,0.000382400678653514,0.000456457148111061,29476
LGALS4,p23441_i0,-0.020869806,0.00154913812962819,-0.081356953,Ratio of apolipoprotein B to apolipoprotein A1,Lipoprotein,ApoB/ApoA1,3.03520105205874e-41,5.91340894625237e-41,29453
APOM,p23451_i0,0.309832987449155,0.0274453940811697,0.0642335749196191,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,1.70844742198181e-29,3.00084806244473e-29,29521
CD276,p23451_i0,-0.250403592,0.0217313922565253,-0.066999748,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,1.18043564003556e-30,2.10061775313415e-30,29431
EGFR,p23451_i0,1.17373541653135,0.0466788736517683,0.142721626780217,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,4.45800564692885e-138,1.7675601336946e-137,29794
GDF15,p23451_i0,-0.303515323,0.0168430277854202,-0.117681042,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,3.27547944479548e-72,8.57442109487002e-72,29794
GHRL,p23451_i0,0.0817932653220925,0.00936993154340701,0.0517739831187626,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,2.69461690963936e-18,4.15215969258065e-18,29452
LGALS4,p23451_i0,-0.086918883,0.0141751899547416,-0.036372062,Ratio of omega-3 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-3 FA/Total FA,8.80175763595347e-10,1.17936594410602e-09,29431
APOM,p23452_i0,0.0333445356888009,0.0640935905296568,0.00297227096316995,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,0.602894930168073,0.612837725118371,29521
CD276,p23452_i0,0.100522874277554,0.0507223008065718,0.0115712519354041,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,0.0475077995554636,0.0518184339446792,29431
EGFR,p23452_i0,-0.204815552,0.109838261971841,-0.010714227,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,0.0622331199832442,0.0672951440967138,29794
GDF15,p23452_i0,-1.182007596,0.038833888994914,-0.197162575,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,2.08392756888872e-200,1.15811712434963e-199,29794
GHRL,p23452_i0,-0.303007619,0.0217818519956124,-0.082523329,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,7.48017962825172e-44,1.50939338927222e-43,29452
LGALS4,p23452_i0,-1.049113996,0.0324627167575127,-0.188868399,Ratio of omega-6 fatty acids to total fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Total FA,3.49546399313442e-225,2.15447689758649e-224,29431
APOM,p23453_i0,0.343170074437444,0.0664357618520303,0.0294036943758793,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,2.41430802549561e-07,3.05391948001124e-07,29521
CD276,p23453_i0,-0.149872468,0.0526064643327453,-0.016578468,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,0.00438961230838865,0.00508744811126069,29431
EGFR,p23453_i0,0.968904707285006,0.113764215440685,0.0487295874395979,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,1.71662872693553e-17,2.59214760993828e-17,29794
GDF15,p23453_i0,-1.485514981,0.0399734853828005,-0.238229211,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,1.59256492971726e-295,1.34969877793538e-294,29794
GHRL,p23453_i0,-0.221214837,0.0226239485287002,-0.05792238,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,1.51616859758757e-22,2.4359296425696e-22,29452
LGALS4,p23453_i0,-1.136028275,0.0336171591369871,-0.196531799,Ratio of polyunsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,PUFA/Total FA,1.26238707865648e-245,8.30969358571935e-245,29431
APOM,p23454_i0,-0.870017801,0.0465226903808093,-0.104768679,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,1.36943952089627e-77,3.80524588183472e-77,29521
CD276,p23454_i0,0.0954543970705315,0.0370287623612078,0.0148432678405582,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0.00994669208115242,0.0112397620517022,29431
EGFR,p23454_i0,-1.101700934,0.0799643607861999,-0.077846802,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,4.72764503799493e-43,9.34502430250893e-43,29794
GDF15,p23454_i0,1.20419489179321,0.0279393333685158,0.271318960768962,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0,0,29794
GHRL,p23454_i0,0.0835292584674806,0.0159526907675961,0.0307299170994028,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,1.65166665295384e-07,2.09705990768297e-07,29452
LGALS4,p23454_i0,0.938726424048732,0.02348740495282,0.228293630524402,Ratio of monounsaturated fatty acids to total fatty acids,Triglycerides&Fatty acid,MUFA/Total FA,0,0,29431
APOM,p23455_i0,0.526849506968701,0.035204431740027,0.0870822635234509,Ratio of saturated fatty acids to total fatty acids,Triglycerides&Fatty acid,SFA/Total FA,1.89320536115846e-50,4.10093685260523e-50,29521
CD276,p23455_i0,0.0544194181188326,0.0279693305404667,0.0116140761820338,Ratio of saturated fatty acids to total fatty acids,Triglycerides&Fatty acid,SFA/Total FA,0.051702492030581,0.0561331464736461,29431
EGFR,p23455_i0,0.132786389078277,0.0604970216427271,0.012895514222482,Ratio of saturated fatty acids to total fatty acids,Triglycerides&Fatty acid,SFA/Total FA,0.0281767196983059,0.0310631153747177,29794
GDF15,p23455_i0,0.281324129906675,0.0216586744574683,0.0871160941192134,Ratio of saturated fatty acids to total fatty acids,Triglycerides&Fatty acid,SFA/Total FA,1.79818987603736e-38,3.38659093320369e-38,29794
GHRL,p23455_i0,0.137687817261776,0.0120120255397645,0.0696004530292207,Ratio of saturated fatty acids to total fatty acids,Triglycerides&Fatty acid,SFA/Total FA,2.3615434708824e-30,4.18048687534796e-30,29452
LGALS4,p23455_i0,0.197301188713055,0.0181794857066241,0.0658539219930204,Ratio of saturated fatty acids to total fatty acids,Triglycerides&Fatty acid,SFA/Total FA,2.17625631556941e-27,3.71662917369285e-27,29431
APOM,p23456_i0,1.33571816810243,0.0602102318198561,0.125150323198781,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,3.74922938148945e-108,1.2903439191116e-107,29521
CD276,p23456_i0,0.0621978330970318,0.0480507036074174,0.00752619313203834,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,0.195530259855385,0.205215969321906,29431
EGFR,p23456_i0,0.567062888526754,0.103993565000451,0.031183894969534,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,4.99586124309613e-08,6.3909319298475e-08,29794
GDF15,p23456_i0,-1.254279675,0.0366373240118385,-0.219937774,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,5.70308456718934e-252,3.9057488248024e-251,29794
GHRL,p23456_i0,-0.043809775,0.0206987253695796,-0.012540676,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,0.0343068933987086,0.0376376597480978,29452
LGALS4,p23456_i0,-1.171972945,0.0305374725775377,-0.221788415,Ratio of linoleic acid to total fatty acids,Triglycerides&Fatty acid,LA/Total FA,1.78577891843532e-314,1.72965443812752e-313,29431
APOM,p23457_i0,0.133146159499548,0.0119252223167429,0.0636168686556336,Ratio of docosahexaenoic acid to total fatty acids,Triglycerides&Fatty acid,DHA/Total FA,6.90636809265414e-29,1.19757482527353e-28,29521
CD276,p23457_i0,-0.074735886,0.00944864976095996,-0.046115495,Ratio of docosahexaenoic acid to total fatty acids,Triglycerides&Fatty acid,DHA/Total FA,2.67037191208407e-15,3.90196585429526e-15,29431
EGFR,p23457_i0,0.386902084546789,0.0203653820809883,0.108474896770444,Ratio of docosahexaenoic acid to total fatty acids,Triglycerides&Fatty acid,DHA/Total FA,5.27669189605433e-80,1.48448012677379e-79,29794
GDF15,p23457_i0,-0.175318404,0.00728475362293405,-0.156733558,Ratio of docosahexaenoic acid to total fatty acids,Triglycerides&Fatty acid,DHA/Total FA,9.15856720231799e-127,3.46899919730257e-126,29794
GHRL,p23457_i0,0.00537882725170418,0.00407574660477873,0.00784987897575088,Ratio of docosahexaenoic acid to total fatty acids,Triglycerides&Fatty acid,DHA/Total FA,0.186940190756545,0.196504572609205,29452
LGALS4,p23457_i0,-0.091722097,0.00613659098918451,-0.088514177,Ratio of docosahexaenoic acid to total fatty acids,Triglycerides&Fatty acid,DHA/Total FA,2.50446962542455e-50,5.40774014661734e-50,29431
APOM,p23458_i0,0.0784435632923128,0.00598932002014321,0.0737668745031394,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,4.39078806292172e-39,8.29235182913907e-39,29521
CD276,p23458_i0,-0.010857934,0.00475419189268931,-0.013182189,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,0.0223865448095882,0.0248820940670505,29431
EGFR,p23458_i0,0.12567386116873,0.0102699791353154,0.06935320531875,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,2.38483391424684e-34,4.3700470104307e-34,29794
GDF15,p23458_i0,-0.144922795,0.00359939317031366,-0.255014331,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,0,0,29794
GHRL,p23458_i0,-0.012513134,0.00204608051651754,-0.035968343,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,9.73683729996061e-10,1.30208593478763e-09,29452
LGALS4,p23458_i0,-0.109087278,0.00303029544246785,-0.207126465,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,Triglycerides&Fatty acid,PUFA/MUFA,9.48780216587396e-278,7.6580117481697e-277,29431
APOM,p23459_i0,-0.713292264,0.0788485731930643,-0.051997481,Ratio of omega-6 fatty acids to omega-3 fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Omega-3 FA,1.56657847051793e-19,2.44732765670773e-19,29519
CD276,p23459_i0,0.659806000162196,0.0625337839135267,0.061959667413639,Ratio of omega-6 fatty acids to omega-3 fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Omega-3 FA,5.58239130561795e-26,9.48586793285456e-26,29429
EGFR,p23459_i0,-2.957349926,0.13407673582161,-0.126663318,Ratio of omega-6 fatty acids to omega-3 fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Omega-3 FA,5.8834162272289e-107,1.9944781010306e-106,29792
GDF15,p23459_i0,0.541732433957021,0.0484237175421455,0.0739869016263134,Ratio of omega-6 fatty acids to omega-3 fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Omega-3 FA,5.37449735594219e-29,9.34335694186873e-29,29792
GHRL,p23459_i0,-0.302807013,0.0268141470714003,-0.067546137,Ratio of omega-6 fatty acids to omega-3 fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Omega-3 FA,1.63816811018362e-29,2.88487786676492e-29,29450
LGALS4,p23459_i0,-0.034357403,0.0407999714016127,-0.005046022,Ratio of omega-6 fatty acids to omega-3 fatty acids,Triglycerides&Fatty acid,Omega-6 FA/Omega-3 FA,0.399742303297306,0.411892525282027,29429
APOM,X23400.0.0,1.44492964411965,0.0147952360561413,0.482146779582667,Total cholesterol,Cholesterol,TC,0,0,29545
CD276,X23400.0.0,-0.174233447,0.0134401816297556,-0.075042157,Total cholesterol,Cholesterol,TC,2.50597495630587e-38,4.70651252181546e-38,29453
EGFR,X23400.0.0,1.21353450837925,0.0282841675177861,0.237838127132808,Total cholesterol,Cholesterol,TC,0,0,29818
GDF15,X23400.0.0,-0.32974223,0.0102904491302636,-0.206031008,Total cholesterol,Cholesterol,TC,1.57541579607609e-221,9.45249477645654e-221,29818
GHRL,X23400.0.0,0.167803368374448,0.00571466953516075,0.171217500339093,Total cholesterol,Cholesterol,TC,7.95678951776799e-187,4.05616788950879e-186,29476
LGALS4,X23400.0.0,-0.26242744,0.00864317592879534,-0.176756069,Total cholesterol,Cholesterol,TC,2.07348160879447e-199,1.13372623448601e-198,29453
APOM,X23401.0.0,1.04807215097386,0.0142800285013024,0.393720718122158,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,0,0,29545
CD276,X23401.0.0,-0.1791113,0.0122574671545075,-0.086825084,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,3.45433866998197e-48,7.34182325469522e-48,29453
EGFR,X23401.0.0,0.967412988281407,0.0259972980835057,0.213464923556195,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,2.70097139029581e-296,2.34776743925713e-295,29818
GDF15,X23401.0.0,-0.24693128,0.0094426702019949,-0.173707827,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,4.69507477330305e-149,1.96497573845646e-148,29818
GHRL,X23401.0.0,0.122027070570972,0.00524244970940604,0.140178722401228,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,9.04190502422872e-119,3.24360402456459e-118,29476
LGALS4,X23401.0.0,-0.205689255,0.00792103805633247,-0.155928371,Total cholesterol minus HDL-C,Cholesterol,Non-HDL-C,5.25783373254526e-147,2.17366540894249e-146,29453
APOM,X23402.0.0,0.472103811246684,0.00715070811981521,0.358854477218292,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,0,0,29545
CD276,X23402.0.0,-0.07174752,0.00605279742254091,-0.070388972,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,2.44218961405506e-32,4.40373552747162e-32,29453
EGFR,X23402.0.0,0.436145426828604,0.0128732788202798,0.194723477931041,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,6.49028373030936e-247,4.35684392985123e-246,29818
GDF15,X23402.0.0,-0.099603778,0.00467568202218743,-0.141772331,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,6.00393935993138e-100,1.92922790807274e-99,29818
GHRL,X23402.0.0,0.0614047855549346,0.00258515053412125,0.142727474455784,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,1.49498071299846e-123,5.53878100225659e-123,29476
LGALS4,X23402.0.0,-0.096089918,0.00391122493980692,-0.147423551,"Remnant cholesterol (non-HDL, non-LDL -cholesterol)",Cholesterol,Remnant C,5.99450824076788e-132,2.30924806093217e-131,29453
APOM,X23403.0.0,0.184498967520365,0.00441713970353949,0.238516338588145,VLDL cholesterol,Cholesterol,VLDL-C,0,0,29545
CD276,X23403.0.0,-0.037406783,0.00359423908841302,-0.062401171,VLDL cholesterol,Cholesterol,VLDL-C,2.53787967315625e-25,4.26968342034724e-25,29453
EGFR,X23403.0.0,0.192028319554855,0.00770380034401379,0.145838025422159,VLDL cholesterol,Cholesterol,VLDL-C,9.50511456832954e-136,3.72512582504476e-135,29818
GDF15,X23403.0.0,-0.021201265,0.0027925194681706,-0.051332917,VLDL cholesterol,Cholesterol,VLDL-C,3.23806011578719e-14,4.68103360022114e-14,29818
GHRL,X23403.0.0,0.0335831642264239,0.00153654252467467,0.132738061544328,VLDL cholesterol,Cholesterol,VLDL-C,4.64276375588387e-105,1.5355091836533e-104,29476
LGALS4,X23403.0.0,-0.02468056,0.00234055488086637,-0.064385594,VLDL cholesterol,Cholesterol,VLDL-C,5.97662304824681e-26,1.01303760667783e-25,29453
APOM,X23404.0.0,0.942121377043892,0.0123916217982406,0.405589561827467,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,0,0,29545
CD276,X23404.0.0,-0.172162802,0.010691829483179,-0.095611892,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,4.35886781829452e-58,1.0018008070521e-57,29453
EGFR,X23404.0.0,0.872618140958997,0.0226589803537275,0.220588957143227,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,1.09998676576966e-316,1.08085655878466e-315,29818
GDF15,X23404.0.0,-0.262485907,0.00819728919150555,-0.211540824,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,3.16028064579892e-221,1.87953533144883e-220,29818
GHRL,X23404.0.0,0.0908659147199038,0.00458757826051127,0.119590494905054,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,9.53913760177663e-87,2.8366382868441e-86,29476
LGALS4,X23404.0.0,-0.209448287,0.0068859734551389,-0.181903357,Clinical LDL cholesterol,Cholesterol,Clinical LDL-C,4.18304858269888e-200,2.30577799924377e-199,29453
APOM,X23405.0.0,0.575968145217078,0.00743864048723658,0.412632016343901,LDL cholesterol,Cholesterol,LDL-C,0,0,29545
CD276,X23405.0.0,-0.107363018,0.00643495293255426,-0.099233886,LDL cholesterol,Cholesterol,LDL-C,3.29340763406158e-62,7.80744886676137e-62,29453
EGFR,X23405.0.0,0.531269939717853,0.0136315982526974,0.223560820561405,LDL cholesterol,Cholesterol,LDL-C,0,0,29818
GDF15,X23405.0.0,-0.147327355,0.00494537836052784,-0.19764804,LDL cholesterol,Cholesterol,LDL-C,3.40544430904147e-192,1.76251239811459e-191,29818
GHRL,X23405.0.0,0.0606217460889593,0.00275732053381158,0.132808940872636,LDL cholesterol,Cholesterol,LDL-C,2.8307575211107e-106,9.54852536971669e-106,29476
LGALS4,X23405.0.0,-0.109599487,0.00416162117076481,-0.158418217,LDL cholesterol,Cholesterol,LDL-C,4.23529729379267e-151,1.80599469508895e-150,29453
APOM,X23406.0.0,0.39685935569703,0.00495175365413599,0.387473308585293,HDL cholesterol,Cholesterol,HDL-C,0,0,29545
CD276,X23406.0.0,0.00487650288621293,0.00433318281150167,0.00613788330382373,HDL cholesterol,Cholesterol,HDL-C,0.260434722459844,0.271236162561865,29453
EGFR,X23406.0.0,0.246123010126465,0.0092480750091827,0.141111906504731,HDL cholesterol,Cholesterol,HDL-C,3.03519637688278e-154,1.31914304072213e-153,29818
GDF15,X23406.0.0,-0.082811732,0.00332588941041399,-0.151367271,HDL cholesterol,Cholesterol,HDL-C,1.85326906205786e-135,7.22135875905304e-135,29818
GHRL,X23406.0.0,0.0457768132126892,0.00184240255860481,0.13663301713932,HDL cholesterol,Cholesterol,HDL-C,6.98254422906355e-135,2.70523713560291e-134,29476
LGALS4,X23406.0.0,-0.056738739,0.00280248861445718,-0.111681473,HDL cholesterol,Cholesterol,HDL-C,1.60228694401098e-90,4.915613339545e-90,29453
APOM,X23407.0.0,0.104522751634752,0.0104534534879666,0.0577129375820014,Total triglycerides,Triglycerides&Fatty acid,TG,1.68017149356182e-23,2.74495487381907e-23,29545
CD276,X23407.0.0,-0.051113719,0.00827796996381284,-0.036462045,Total triglycerides,Triglycerides&Fatty acid,TG,6.7169194256597e-10,9.03585589404222e-10,29453
EGFR,X23407.0.0,0.151737001849544,0.0178976270680278,0.049237493509382,Total triglycerides,Triglycerides&Fatty acid,TG,2.39418921793244e-17,3.59924676221329e-17,29818
GDF15,X23407.0.0,0.10190767374215,0.00640779646627327,0.105424122810964,Total triglycerides,Triglycerides&Fatty acid,TG,1.02326422961794e-56,2.32809781100994e-56,29818
GHRL,X23407.0.0,0.0569650044119286,0.00355373907183038,0.0961294002433271,Total triglycerides,Triglycerides&Fatty acid,TG,1.39258322518987e-57,3.17902837265566e-57,29476
LGALS4,X23407.0.0,0.103786990107278,0.00536028238841722,0.115781126237979,Total triglycerides,Triglycerides&Fatty acid,TG,5.29053664838891e-83,1.52637610536497e-82,29453
APOM,X23408.0.0,0.0650558971956355,0.00871837603417238,0.0428971893337499,Triglycerides in VLDL,Triglycerides&Fatty acid,VLDL-TG,8.76140558513805e-14,1.25321371027924e-13,29545
CD276,X23408.0.0,-0.046522974,0.00689734261544337,-0.039635881,Triglycerides in VLDL,Triglycerides&Fatty acid,VLDL-TG,1.55797819987983e-11,2.15134260594404e-11,29453
EGFR,X23408.0.0,0.113360512356528,0.0149204442863863,0.0439234155346947,Triglycerides in VLDL,Triglycerides&Fatty acid,VLDL-TG,3.10367520483179e-14,4.49634997623067e-14,29818
GDF15,X23408.0.0,0.0745823861354418,0.00534581461542776,0.0921296131984521,Triglycerides in VLDL,Triglycerides&Fatty acid,VLDL-TG,4.2394433500171e-44,8.63165943336815e-44,29818
GHRL,X23408.0.0,0.0407782741467378,0.00296538664174912,0.0821674443812584,Triglycerides in VLDL,Triglycerides&Fatty acid,VLDL-TG,6.77933074556674e-43,1.3322858682592e-42,29476
LGALS4,X23408.0.0,0.0819161687719715,0.00446976476637813,0.109139507420973,Triglycerides in VLDL,Triglycerides&Fatty acid,VLDL-TG,1.31922262940162e-74,3.57773177093719e-74,29453
APOM,X23409.0.0,0.0190856911595222,0.000747789936742371,0.147492331445561,Triglycerides in LDL,Triglycerides&Fatty acid,LDL-TG,3.8508171732386e-142,1.56338565476393e-141,29545
CD276,X23409.0.0,-0.003049192,0.000597841094816461,-0.030439734,Triglycerides in LDL,Triglycerides&Fatty acid,LDL-TG,3.41151239190193e-07,4.30727262888177e-07,29453
EGFR,X23409.0.0,0.0179432309241686,0.00128881031344523,0.0815417166700702,Triglycerides in LDL,Triglycerides&Fatty acid,LDL-TG,6.36733369633187e-44,1.29253061260869e-43,29818
GDF15,X23409.0.0,0.00954689647080331,0.000461019585868548,0.138315256680029,Triglycerides in LDL,Triglycerides&Fatty acid,LDL-TG,1.35747029166393e-94,4.28076678022393e-94,29818
GHRL,X23409.0.0,0.00594538289753539,0.00025509269655291,0.140562004215194,Triglycerides in LDL,Triglycerides&Fatty acid,LDL-TG,4.54427989772888e-119,1.63884136737244e-118,29476
LGALS4,X23409.0.0,0.00800710770815606,0.000386694411914499,0.125003778550902,Triglycerides in LDL,Triglycerides&Fatty acid,LDL-TG,1.4314808671351e-94,4.4932593885074e-94,29453
APOM,X23410.0.0,0.010172369894373,0.000869589223076278,0.0681171665018627,Triglycerides in HDL,Triglycerides&Fatty acid,HDL-TG,1.53386952316601e-31,2.74396711532072e-31,29545
CD276,X23410.0.0,-0.000644004,0.00069004637552476,-0.005567692,Triglycerides in HDL,Triglycerides&Fatty acid,HDL-TG,0.350685204981016,0.362445989294404,29453
EGFR,X23410.0.0,0.0110148302755926,0.00149044894563036,0.0433428041208278,Triglycerides in HDL,Triglycerides&Fatty acid,HDL-TG,1.50371592846012e-13,2.1328857730041e-13,29818
GDF15,X23410.0.0,0.0111412546198185,0.000531819447911803,0.139766138122374,Triglycerides in HDL,Triglycerides&Fatty acid,HDL-TG,9.51089512923863e-97,3.02741168902525e-96,29818
