Protein,Gradient Importance
TIA1,1.7268909
TRIM21,1.3882375
TRIM5,1.5458508
TREM2,0.7813014
TXLNA,1.7008201
TSPAN1,6.9519987
TNNI3,2.8885622
TNFSF14,3.251367
TNFSF13,3.7275777
TPSAB1,1.4413422
TPPP3,3.3973136
TPP1,0.78950894
TP53,1.0265241
CNTN3,2.958638
CLTA,0.78110844
CNPY4,0.7982703
CNST,3.5740178
CPXM1,1.7346864
CRACR2A,0.8336647
CRADD,4.5867095
CREG1,19.257523
CPM,6.371489
CORO1A,2.3369455
COMT,2.6315103
CRHBP,1.4407079
CHAC2,0.9871476
CEP43,0.8536309
CEP20,1.2288079
CEP85,1.648896
CES1,2.0217326
CES3,4.1102214
CETN2,1.56068
CHIT1,5.268979
CLEC4G,0.7600856
CLEC1B,0.92736834
CLEC4D,1.6932604
CLIP2,1.364999
CHMP1A,0.79190385
CIAPIN1,1.1084222
CLC,1.8215868
DCXR,2.3179045
DDAH1,1.1489173
DCTPP1,5.006358
DDX58,2.9337044
DEFA1_DEFA1B,2.7460468
DAB2,1.7190912
DBNL,1.3176408
DAG1,3.8281333
DBI,1.1497946
DCTN6,2.1132696
DCTN1,2.9326906
DLK1,0.8066685
DNAJA2,2.202393
DFFA,3.4099548
DKK1,1.7118372
CTF1,2.3356693
CSF2RA,1.080709
CRKL,1.0557982
CSF1,1.5341711
CXCL14,4.106736
CXADR,8.013641
CXCL6,1.1472245
CXCL8,1.9950216
CTSC,2.7695208
CTSD,0.9109928
CTSO,9.524833
CTSZ,3.9596915
IL18,1.3659497
IL1R2,2.6630614
IGSF8,3.5858932
IKBKG,1.6555222
IL12A_IL12B,1.5095959
IL12B,1.8576328
ILKAP,0.96350574
ING1,0.9474119
INPPL1,0.93756956
IL2RA,2.5663166
IL1RN,8.768019
HMOX2,1.594125
HNMT,1.7834527
HNRNPK,3.5425766
HS6ST1,2.91341
HMBS,0.9044934
HDGF,1.6902502
HEXIM1,3.1995306
HGS,3.8123364
HLADRA,0.9049579
IFNL1,0.8855621
HTRA2,5.145124
HSPA1A,3.2072387
HSPB1,7.545381
IDI2,0.89039415
LAT,5.7171884
LAT2,1.4376665
LBR,0.964434
LCN2,5.0402303
LACTB2,4.0082974
KRT18,3.2542906
KYAT1,6.7139893
KYNU,7.7133365
LAP3,0.7630464
LAMP2,3.0346773
LGALS7_LGALS7B,3.6805594
LGALS8,2.0201316
LGMN,0.94212556
LHPP,4.739846
LIF,1.0362451
LILRA2,1.4007828
LILRB2,5.6838846
IPCEF1,0.8454724
IQGAP2,1.4944757
IRAG2,1.029184
IRAK1,3.138761
IRAK4,3.4872649
ISM1,0.8862907
ITGA5,7.4342656
KLRB1,8.692892
KEL,3.0077457
KIFBP,5.894101
FAS,1.9776899
FBP1,3.5555806
FCAR,3.42452
FCGR2B,1.0166799
F2R,0.86814946
F11R,1.0572121
FADD,1.6368097
F9,7.3095303
FABP1,11.023627
FABP5,2.0328455
FIS1,6.053687
FKBP4,0.930979
FKBP5,3.8061345
FLI1,3.315494
FEN1,1.7625978
FES,0.9155323
FGF2,4.8986883
FGF21,4.4795756
EIF4B,2.506868
EIF4EBP1,1.7229624
EIF4G1,4.810974
ENO1,5.4213166
ENAH,2.610819
EGF,1.7099335
EGFL7,1.8124907
EPS8L2,10.203884
ERBIN,3.029945
ERP44,2.9834194
ESAM,3.4804235
EPHX2,2.9262946
ENTPD2,1.500299
EPHA1,1.2440271
ENO2,2.5173929
GOPC,0.76412535
GLB1,2.0798473
GLOD4,0.9361153
GLRX,1.1076605
GUSB,4.268744
HAGH,1.166273
HAO1,5.4110384
HARS1,1.3823035
HBEGF,3.0910587
GPKOW,1.9563006
GRAP2,1.473987
GSTA3,1.2364676
GRPEL1,1.0400603
GSTA1,3.1510708
FYB1,1.3334116
FURIN,6.700477
FUS,2.2679045
FUT3_FUT5,4.841055
FOSB,1.2754296
FST,9.016444
GCNT1,1.5734082
GFER,1.8670125
GAS6,1.0208427
GALNT10,3.321058
NPPC,4.7106266
NUB1,2.4109418
NUDT5,1.1269469
NUDC,0.8829194
NUCB2,2.0797822
NT5E,5.664879
NSFL1C,3.0759459
NFATC1,1.0249276
NDUFS6,1.4022555
NDRG1,5.380187
NFATC3,1.1479871
NID1,3.6375303
NMNAT1,3.4318855
NID2,1.0795971
NFKBIE,1.7446052
PDCD5,0.9572466
PBLD,3.6341808
PDGFA,2.1081967
PEBP1,1.0976273
PDGFB,3.377603
PDLIM7,0.8907117
PDGFC,0.8186753
OSM,6.7570868
OGFR,4.8545074
PARK7,0.74309975
PAK4,2.8085618
PAG1,0.8003259
MDGA1,3.40437
MCFD2,1.744515
MAVS,1.3404427
MASP1,1.4326346
MAPT,2.249341
METAP2,4.4743624
MIF,4.6316624
MICB_MICA,8.776389
MGMT,2.643863
METAP1D,0.95334256
MESD,1.7383037
MEP1B,5.06591
MEGF9,5.7204437
MAPK9,0.88393575
LYN,5.2385697
MAP4K5,1.7243274
MAP3K5,1.6589179
MANF,4.9193
MAEA,1.4464725
MAD1L1,3.0337882
MVK,3.8935184
NCK2,1.9410928
NBN,3.962474
MMP9,1.4455329
MMP1,3.1040916
MME,2.3383179
MITD1,3.411383
MSRA,0.9351347
MRPL46,1.3596773
MPI,3.540512
MPHOSPH8,0.91532767
POLR2F,3.4436939
PON2,0.8593538
PLIN1,2.1831162
PLIN3,5.3004746
PLPBP,0.6488278
PLXNA4,3.0795102
PRCP,14.59141
PPP3R1,1.5546697
PQBP1,1.8011813
PPP1R9B,2.3278277
PRDX3,0.9366204
PRDX5,5.089647
PPCDC,1.7310213
PPIB,2.3796897
PPP1R2,1.4047506
PPME1,2.7224388
PPP1R12A,0.86320484
PIK3AP1,1.1363053
PHOSPHO1,6.4284625
PGLYRP1,4.1572313
PGF,4.5642514
PLA2G15,1.4180022
PFKFB2,2.0416687
