outcome,Trend,category,b_APOMO95445,pval_APOMO95445,b_CD276,pval_CD276,b_Dementia ,pval_Dementia ,b_Dementia in Alzheimer disease ,pval_Dementia in Alzheimer disease ,b_Dementia in other diseases classified elsewhere ,pval_Dementia in other diseases classified elsewhere ,b_EGFRP00533,pval_EGFRP00533,b_GDF15Q99988,pval_GDF15Q99988,b_GHRLQ9UBU3,pval_GHRLQ9UBU3,b_LGALS4P56470,pval_LGALS4P56470,b_Unspecified dementia ,pval_Unspecified dementia ,b_Vascular dementia ,pval_Vascular dementia ,b_demenitameta,pval_demenitameta,pval_anycause
"Sphingomyelin (d18:1/20:1, d18:2/20:0) levels ",cfmet338,1,-0.04906214,0.560682460502966,0.125464982068136,0.121749390580447,0.0553566432786053,0.425664555813168,0,1,-0.157623585,0.417170706118008,0.127726605640943,0.597627539310126,-0.05716471,0.591224088,0.112384893247795,0.420710768422197,0.0537038635114651,0.538023315213453,0.0296930850080156,0.787974475013415,-0.111776205,0.587749590037658,0.162990152203664,0.860283541697144,1
"Sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1) levels ",cfmet338,1,0,1,0,1,0.0100317590452648,0.483107991216233,-0.002224063,0.927535431408574,0.0157921642545958,0.750004077703034,0,1,0,1,0,1,0,1,-0.002118631,0.940279105852672,0.0059483678538566,0.862143699,0.725695177935632,0.0737613053256976,1
"Sphingomyelin (d18:1/24:1, d18:2/24:0) levels ",cfmet338,1,-0.019958964,0.682462058067992,0.0410012674785099,0.30811962633782,0.0019750502026008,0.96113244542746,0.0006587959251029,0.991485306930289,-0.060965269,0.693359918476196,0.0761514463754986,0.596016827943775,-0.021853014,0.696162160607338,0.0672646229127734,0.543269180554769,0.0273977998556435,0.546648255965153,0.0053494021671851,0.941356243840735,0.0896600837615598,0.300351728531948,0.694145128991518,0.465481440282129,1
"Sphingomyelin (d18:2/16:0, d18:1/16:1) levels ",cfmet338,1,0,1,0,1,-0.010247189,0.645801180175361,-0.020639326,0.580527367584533,-0.061092025,0.508013489542871,0,1,0,1,0,1,0,1,0.108494479392123,0.0144984450404166,-0.018067455,0.745571500894234,-0.33542564,0.503139479945075,0.0144984450404166
"Sphingomyelin (d18:2/24:1, d18:1/24:2) levels ",cfmet338,1,-0.000607949,0.989629657081363,0.0599490110282059,0.162668620421448,0.0335210696127878,0.183654829407706,0.0118683100137514,0.752727614400218,-0.042928223,0.583904258223888,-0.012065499,0.933628578847957,-0.044446176,0.432865399793282,0.116000988489218,0.157594808138004,-0.001129103,0.981327686870112,0.0587796191048066,0.183639978008179,0.0077506681105206,0.910144468658874,-0.22970393,0.628166619998517,1
(N(1) + N(8))-acetylspermidine levels ,cfmet338,1,0,1,0,1,-0.010533329,0.75961099243224,0.0007127497806201,0.991951887610701,0.0216960460823804,0.824477939603709,0,1,0,1,0,1,0,1,0.0594369620963812,0.335710335852961,0.136085933620816,0.0499886287190054,-0.711841824,0.251795639169598,0.0499886287190054
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4) levels ,cfmet338,1,0,1,0,1,0.008897175653542,0.875772891215972,-0.0772171,0.543815960858574,-0.024997846,0.870650170349115,0,1,0,1,0,1,0,1,0.0990845421043496,0.261078193174326,0.0220957416122612,0.835691278080957,-0.028343364,0.871216369203096,1
1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1) levels ,cfmet338,1,0,1,0,1,-0.014836171,0.589102898411335,-0.016796768,0.712445654075453,-0.036510137,0.700405330364552,0,1,0,1,0,1,0,1,-0.061755017,0.281159373824409,-0.016387645,0.802387571808974,0.812477598386634,0.287829062177971,1
1-arachidonoyl-gpc (20:4n6) levels ,cfmet338,1,0,1,0,1,-0.003159345,0.957583836860958,-0.04439066,0.498347085223492,0.19149988702815,0.125915777564921,0,1,0,1,0,1,0,1,-0.07420592,0.499535071829677,0.0556095294342125,0.640132575567625,1.94260300354877,0.100589252546585,1
1-carboxyethylphenylalanine levels ,cfmet338,1,0.0257815824568676,0.6391838929391,0,1,0.0621877169465487,0.102540878468802,0.123788842213725,0.0080415899260486,-0.052655702,0.549733345003822,0.0091387776687,0.968161461411458,0.0522259349116045,0.422148395436798,0.0343110289146027,0.633420962720592,0.0070968378827781,0.900566445824571,0.0094368848623458,0.859036025495265,0.165695897742486,0.0062665798853504,-0.213972316,0.564404059038677,0.0062665798853504
1-carboxyethylvaline levels ,cfmet338,1,0.0398270286899514,0.521856910556199,-0.071742582,0.185809985590762,-0.078879067,0.0715148809472938,-0.114192879,0.138204433187323,-0.240183498,0.11176511159012,0.0629652684043164,0.699407311104906,0.015929757398665,0.822704555831619,-0.073117415,0.381318446579305,-0.076379404,0.21134800986219,-0.087624419,0.339823994342873,-0.001397793,0.987350900254933,0.788602516293629,0.238741922451521,1
1-linoleoyl-gpc (18:2) levels ,cfmet338,1,0,1,0,1,-0.020834958,0.629679956487561,0.0086312130272644,0.910674015335328,0.0691757523797431,0.740051639422054,0,1,0,1,0,1,0,1,0.0216714562547247,0.800773441915495,-0.184996761,0.0690872190994054,-0.039016509,0.968884356997722,1
1-methyl-5-imidazoleacetate levels ,cfmet338,1,-0.009978772,0.906955524321352,0,1,0.0102671386891251,0.745497601517481,-0.01131725,0.898286541655732,-0.0909921,0.353831787086929,0.0303723382688858,0.892289437226831,-0.079356513,0.431493557240551,-0.01929863,0.861588843924541,0.0036200150508034,0.966392875828748,0.0041942621373516,0.97910441333384,0.0693572548914879,0.305050841238215,-0.325503037,0.359605457976041,1
1-methylnicotinamide levels ,cfmet338,1,-0.043455925,0.616502674365395,-0.028691373,0.722724172697281,0.0139818912530357,0.324398124461899,0.0024736437142057,0.917256764819517,0.0637659398079064,0.232660048285832,-0.058602868,0.806264658352705,0.0396265703370005,0.707193823313406,-0.045107197,0.750282325529516,0.041126145288909,0.631096869558441,0.0126130525459376,0.665612664321295,-0.02668326,0.427734723717507,0.157623211186587,0.306894847025845,1
1-myristoyl-2-palmitoyl-gpc (14:0/16:0) levels ,cfmet338,1,0,1,0,1,-0.021126622,0.676244200924645,-0.11215029,0.198705337067025,0.0446509592235893,0.828064541197062,0,1,0,1,0,1,0,1,-0.097628539,0.473774202963172,0.019099995012672,0.857422438433732,-1.311987101,0.185663227740374,1
1-oleoyl-GPC (18:1) levels ,cfmet338,1,0.0329322187728194,0.393250517968508,0.0064227583778984,0.853889841288958,0,1,0,1,0,1,-0.038360983,0.72015753948632,-0.050622923,0.28214509192553,0.0496845034595444,0.367430284672451,-0.0247646,0.519076966826569,0,1,0,1,0,1,1
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels ,cfmet338,1,0,1,0,1,0.016271660072715,0.185031895532695,0.0085400025919203,0.666381223228166,0.0201788051945362,0.623158725071511,0,1,0,1,0,1,0,1,0.0281730383155284,0.228603512493658,0.0323597538172794,0.251942262809551,0.689009677411421,0.0071473059094316,0.0071473059094316
1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6) levels ,cfmet338,1,-0.016912463,0.700380015524984,0.041211108079822,0.297508640612734,0.0168381215399432,0.477055406236784,0.0448196901506352,0.256977912593222,0.0281849005195465,0.733053515759916,0.0613333630586886,0.589864548146035,-0.039420948,0.444465508855921,0.0710036027939794,0.259386020627615,0.0726865998254116,0.0850865993016493,0.0706606074744091,0.13162638627539,0.0497466718554595,0.506837415662366,0.871117215012141,0.217664059214941,1
1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) levels ,cfmet338,1,0,1,0,1,0.0057578435527849,0.649505610549399,0.0123349554163385,0.530354110765991,-0.003349966,0.934627950718103,0,1,0,1,0,1,0,1,0.0153676766950269,0.508811000371134,0.0223659237398752,0.46471554824857,0.39286447751332,0.0713754841481753,1
1-palmitoyl-2-oleoyl-gpc (16:0/18:1) levels ,cfmet338,1,-0.004110828,0.89240972510074,0.0166565427437666,0.554313609545561,0.0593122495631029,0.579753672029459,0.0479680613276861,0.834880958242269,0.114179103399762,0.810241074832767,-0.002208837,0.976792028430937,-0.019838589,0.593757420138436,0.0430629498200138,0.374776354980191,0.0306341323449714,0.316488807668626,0.0776918879499866,0.740075151480566,-0.014548285,0.958725674476441,1.22593240567634,0.575599555020053,1
1-palmitoyl-2-palmitoleoyl-gpc (16:0/16:1) levels ,cfmet338,1,0,1,0,1,0.0465670096777494,0.818183327893464,0.106268742016004,0.7550360409445,0.0839882443642552,0.933404025614843,0,1,0,1,0,1,0,1,0.474285915843392,0.256317501480639,-0.643139542,0.470112307514161,-1.773980052,0.0662795726591308,1
1-palmitoyl-2-stearoyl-gpc (16:0/18:0) levels ,cfmet338,1,-0.016928752,0.744984251020104,-0.015184027,0.72782185179736,-0.044509511,0.283564757245383,-0.126438148,0.068867558552166,-0.266166084,0.064016022394877,-0.055329941,0.755420160179621,-0.032994681,0.554940360167068,0.0948514614546509,0.254678818294914,0.0288578642742444,0.546991894464025,-0.041863278,0.680146428942375,0.0441253597952931,0.667668687234047,-0.766132914,0.209057873290198,1
1-ribosyl-imidazoleacetate levels ,cfmet338,1,0.0297805147902537,0.566788257080933,0.0040432720891576,0.926686675072506,-0.030304054,0.517040785148333,0.0117165827730457,0.864507950775623,0.0040557429499583,0.977272790275579,0.0921048265888805,0.538011126484409,-0.003925292,0.945858894633381,-0.029209345,0.685721037918508,-0.00825697,0.861733761175693,-0.067600439,0.4212372875603,-0.292935299,0.0044514427150401,-0.755320117,0.338596245878176,0.0044514427150401
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels ,cfmet338,1,0,1,0,1,0.0171242347857298,0.148047345065072,0.0132203691833259,0.493969444863954,0.0150604627140509,0.707150852833661,0,1,0,1,0,1,0,1,0.0242671729620741,0.287946792309323,0.0290566135225647,0.296097821238534,0.705440188274146,0.0057953273625135,0.0057953273625135
1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6) levels ,cfmet338,1,-0.012791861,0.770206412938288,0.0394735390583674,0.334433654635263,0.0985153839314007,0.149711571892499,0.137676105335382,0.233364537762492,0.0386294447547171,0.870515365134231,0.0729995800324974,0.655616912712334,-0.0291276,0.588361302088559,0.0592973034677879,0.445149204852199,0.059863528050226,0.184952018559966,0.260491614394669,0.0514029612364451,0.0897909755973765,0.749022855799188,-2.097894169,0.803002459241023,1
1-stearoyl-2-linoleoyl-gpc (18:0/18:2) levels ,cfmet338,1,0,1,0,1,0.0161843283836082,0.115765419004506,0.0237397580098707,0.134631247308539,0.0363092887334567,0.264903983827173,0,1,0,1,0,1,0,1,0.0309479293593835,0.0958347257341563,0.0321227785682239,0.197116484176147,0.464676627584912,0.0175240766514245,0.0175240766514245
1-stearoyl-2-oleoyl-gpc (18:0/18:1) levels ,cfmet338,1,-0.017298828,0.608745709742217,0.0204267218136471,0.525003453605029,0.0014388086044741,0.943684593183678,0.0289677273461207,0.353191937633745,-0.03013696,0.642677420755746,-0.049188687,0.589290394535549,-0.063043613,0.13150671428753,0.0616575803384964,0.252592540355116,0.0179527544981542,0.609465563251086,0.0322116214036163,0.384000625156129,0.0079395527986164,0.876907320123681,0.426986517033432,0.474046970213931,1
1-stearoyl-gpc (18:0) levels ,cfmet338,1,0,1,0,1,-0.000710355,0.987147898329613,-0.013375719,0.839480379002562,0.134197814075892,0.369989980337462,0,1,0,1,0,1,0,1,0.0553934071988186,0.503743316625974,0.0663007693533626,0.479471062424635,1.14560971859535,0.439693222529162,1
2'-deoxyuridine levels ,cfmet338,1,-0.014508176,0.831126209720542,-0.030048888,0.621935324699435,-0.017965272,0.498568038513066,0.0228843779814119,0.558316672241768,-0.01530739,0.847811376908919,0.0382530051690916,0.813576755130518,0.0691648249044401,0.376866024308964,-0.036737459,0.69332399025662,-0.007220841,0.911310518511817,-0.080650866,0.0720552159260086,-0.026295507,0.705990268176411,0.624731434463234,0.286294493997686,1
2'-o-methylcytidine levels ,cfmet338,1,0,1,0,1,-0.055229761,0.237949238369437,-0.11709912,0.135128474954571,-0.004518325,0.978005224572141,0,1,0,1,0,1,0,1,-0.076167793,0.408540756499056,-0.08533959,0.557365965911596,-0.348313012,0.662528577835642,1
2-aminophenol sulfate levels ,cfmet338,1,0.0673540476831706,0.5244324795174,-0.159088903,0.0935001193222568,0,1,0,1,0,1,0.196771436907982,0.377528510150519,0.065063880475095,0.6082096390799,0.0290069666936022,0.865324964751472,-0.05482044,0.602523614126112,0,1,0,1,0,1,1
2-hydroxyadipate levels ,cfmet338,1,-0.046951837,0.499654796726215,-0.03425025,0.596808919409076,-0.016211759,0.585753079314509,-0.049640584,0.505901067860939,-0.016825834,0.867463001465099,0.0480194598115469,0.835548950002906,-0.02708173,0.749851823956053,-0.068267889,0.454417827355422,-0.059368188,0.390608081238071,0.0288695792212916,0.572676373,0.093933757334159,0.126492747903143,0.553148249121325,0.628057228347329,1
2-hydroxyglutarate levels ,cfmet338,1,-0.047607259,0.685964603789284,0.0072081627354933,0.945587512296653,-0.066488131,0.0966240611208825,-0.088532123,0.0992632183445421,-0.078062774,0.639856320962828,0.113488291610476,0.759162461219722,-0.004448438,0.975542524554456,0.113827323195126,0.537070498291353,-0.190069698,0.116927994586316,-0.174833894,0.0061282513135164,0.0600054601919308,0.627610347986643,0,1,0.0061282513135164
2-o-methylascorbic acid levels ,cfmet338,1,-0.013290576,0.592625216594547,-0.025795229,0.248959453486752,0,1,0,1,0,1,0.0189466682254001,0.768452297747856,0.0184058911868095,0.509906628505171,0.0160700247544333,0.646472901503216,-0.006150694,0.789276430127589,0,1,0,1,0,1,1
2-piperidinone levels ,cfmet338,1,0.165733121126292,0.156404510042792,-0.068416791,0.537308374378246,0,1,0,1,0,1,0.0803757849089605,0.809574709045563,-0.011334567,0.935371039944789,-0.093098401,0.582100555508751,0.0189958209466607,0.878420419991207,0,1,0,1,0,1,1
3-(3-amino-3-carboxypropyl)uridine levels ,cfmet338,1,0.0422285100386886,0.263028200412666,0.0585484671385164,0.677841954594985,0,1,0,1,0,1,0,1,0,1,-0.040908708,0.495535112264514,0,1,0,1,0,1,0,1,1
3-amino-2-piperidone levels ,cfmet338,1,0.0193253312255052,0.544577505732175,0,1,0,1,0,1,0,1,0.0106480976774347,0.888815166721777,0.0328402577985687,0.362621494620448,0.0009471514596066,0.980977332876053,-0.03146331,0.304122046512007,0,1,0,1,0,1,1
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf) levels ,cfmet338,1,-0.023100628,0.903869696074185,-0.107596667,0.544353555355359,0,1,0,1,0,1,-0.467536462,0.469756322505155,-0.280994168,0.220267889732713,0.0156966240350499,0.953961112493237,0.186081499591154,0.326628209200102,0,1,0,1,0,1,1
3-hydroxy-3-methylglutarate levels ,cfmet338,1,-0.007187039,0.801926329462022,0.0241787062750776,0.349649672045246,0,1,0,1,0,1,0.0205825075578936,0.775209156846053,0.040907835289799,0.226082677664037,0.0053386057454128,0.894096369139646,0.0402822764344164,0.15689088457098,0,1,0,1,0,1,1
3-hydroxyhexanoate levels ,cfmet338,1,0.0270541278919889,0.305021772171289,0.028501960686624,0.205015597953106,0,1,0,1,0,1,-0.002986413,0.965830690968604,0.0250903736143702,0.410027124710001,0.0134278420611924,0.670974261905531,0.0083774457701391,0.732684884427273,0,1,0,1,0,1,1
3-hydroxyisobutyrate levels ,cfmet338,1,0.0155804260759906,0.538679190988518,0.006797045297468,0.766245358526694,0,1,0,1,0,1,-0.005252479,0.948164027341782,0.0158706761612031,0.577661271788605,0.0024681149359185,0.944001043767957,0.0130013904877543,0.600006263031478,0,1,0,1,0,1,1
3-hydroxyoctanoate levels ,cfmet338,1,0,1,0,1,-0.032569706,0.46238202326387,-0.078959599,0.28747447330034,-0.08876587,0.62069289985493,0,1,0,1,0,1,0,1,0.0060220409931013,0.960446122665534,0.0335117199029423,0.751997861777382,0,1,1
3-hydroxypyridine sulfate levels ,cfmet338,1,-0.026110617,0.829033223194541,-0.014572513,0.886706164937638,0,1,0,1,0,1,0.101783505185783,0.72133869418058,0.0533693613285189,0.702493919181733,-0.069915038,0.635192357785034,0.0041179804648106,0.971440711088036,0,1,0,1,0,1,1
3-indoxyl sulfate levels ,cfmet338,1,0,1,0,1,0.0242174531162248,0.570788671996933,0.103068937491747,0.146394135499595,0.0263673924500914,0.859518374475205,0,1,0,1,0,1,0,1,-0.07051432,0.572237362143193,-0.148480819,0.145246647866178,4.18319919609146,3.49852946770498e-05,3.49852946770498e-05
3-methoxytyramine sulfate levels ,cfmet338,1,0.0190962588377943,0.691531130515955,-0.01304006,0.763390795182909,0.155764664174543,0.0098209111921593,0.186858225015603,0.0294899502071166,0.196243183148926,0.333129586036668,0.0785219932644708,0.536195276906771,0,1,0.0752773863955488,0.292288186032206,-0.058579832,0.238601889190586,-0.02668862,0.819372950045008,0.0430730228631903,0.747687503811603,-0.593632227,0.864341353103167,0.0098209111921593
3-methyl-2-oxobutyrate levels ,cfmet338,1,0.0175556965636286,0.389650089804415,0.0081429775517963,0.655416760771761,0.127951552112659,0.47831912387495,-0.490053555,0.363734623468297,1.38550968718309,0.0272154685291058,0.038934771585549,0.451648460115234,0.0205603901984313,0.3992144965739,0.0122336394330952,0.702807555270738,0.0047901010792603,0.814138877114086,-0.412695057,0.254145020710419,-0.360201112,0.408258592368319,0,1,0.0272154685291058
3-methylglutaconate levels ,cfmet338,1,0.0155365607883937,0.53874381203055,-0.014169788,0.53317241246969,0,1,0,1,0,1,-0.001235766,0.985644481538655,0.0307677307725107,0.337992715391727,-0.030475858,0.387028758856633,0.0366398596144943,0.165869276387803,0,1,0,1,0,1,1
3-methylglutarylcarnitine (2) levels ,cfmet338,1,0,1,0,1,0.0348837086972469,0.597471754463213,0.184764264240481,0.0548724595255293,0.130802570725171,0.416947908572504,0,1,0,1,0,1,0,1,0.0694545804140896,0.451995594975681,0.170993799565736,0.12467149223445,0.53747200384837,0.546696006967757,1
3-methylhistidine levels ,cfmet338,1,-0.018491172,0.898159510726805,-0.053537817,0.68918513208028,0.0384296898127361,0.237572714735062,0.0486985438863244,0.386249103898434,0.0757515432238354,0.358072540569836,0.130583875326987,0.732375189961009,-0.217399587,0.206222740006732,-0.219488958,0.276108226865608,-0.082198914,0.573528674746442,0.0382025918924496,0.415900937670895,0.0338476059285362,0.548349706433385,0.633530619084329,0.0577571111993072,1
3-ureidopropionate levels ,cfmet338,1,0.0126843415728174,0.819350390354495,-0.050947264,0.31564922517674,0,1,0,1,0,1,-0.093660147,0.628150135886633,0.0107614570148123,0.873229402420138,0.0102073833856171,0.899110958249078,-0.033373016,0.5568374873096,0,1,0,1,0,1,1
4-chlorobenzoic acid levels ,cfmet338,1,0.0185396582709799,0.590860391471085,-0.016613627,0.574183767335349,0.006567493791061,0.717450206428014,-0.057359204,0.0579903333428554,-0.001409441,0.982131101969478,-0.012152547,0.879020961924104,-0.002110496,0.957663586463078,-0.023311517,0.667923563031925,-0.027709707,0.406395127477467,-0.015491217,0.665737437578114,0.0086640917640524,0.865037189592573,0.634432003439023,0.161787369873663,1
5-acetylamino-6-amino-3-methyluracil levels ,cfmet338,1,-0.119488657,0.253310403327816,-0.06312068,0.513698614652385,0.0381780468723007,0.25555023049833,0.0315967961210274,0.569730761385373,0.0214460176029929,0.854585868265215,0.132194583113269,0.669356242070896,0.0098682846964318,0.939429060291065,-0.019674142,0.899185424416841,-0.114593552,0.324069665795181,0.125236370548011,0.0599326483534271,0.0744713724034314,0.495229871627393,0.681180653983956,0.134900027959914,1
5-hydroxyindoleacetate levels ,cfmet338,1,0.0144796053160843,0.87119272270565,-0.101158773,0.259082228925928,0.0029701633808682,0.866089665120028,0.0184966280568328,0.528593997228526,0.0263253352225383,0.726106257244802,-0.018028191,0.941454276110696,0,1,0.0971372088446902,0.395027011319529,0.0198703554745824,0.826790679322514,0.024060237210959,0.490893620972937,0.0154124342269359,0.714107206513763,-0.343162352,0.390238541345694,1
5-methylthioadenosine (mta) levels ,cfmet338,1,0.0022143527582669,0.958956061962294,0.0290488010230553,0.235579565484378,-0.051400582,0.489085471612899,-0.122852142,0.418309820989683,0.254736728475842,0.326121549138585,0.0111769306217268,0.901288629588436,0.0803889227219097,0.0199872419998311,-0.041469171,0.298920251529697,0.0015071229928906,0.955883615939417,-0.141850343,0.335217598546754,0.0234875712288282,0.894896188113653,-4.904075094,0.0637579870275638,1
6-oxopiperidine-2-carboxylate levels ,cfmet338,1,0.0323561435007946,0.454679388223014,-0.024536378,0.551163221346326,-0.028006196,0.099111288918288,-0.029806972,0.294845058951533,0.0141825951778621,0.832473947816577,0.0278082750906173,0.813604438814622,-0.083472432,0.101035371066831,0.0120313851524558,0.852392898735814,0.0241135451593234,0.588389979626216,0.0502674333408867,0.136834410537323,0.0129411319131536,0.7495528209086,-0.149212971,0.654521665794237,1
7-methylguanine levels ,cfmet338,1,0.0035208393987905,0.85187429692915,0.0171463865459979,0.322691297373662,0,1,0,1,0,1,0.0018028854327383,0.981450936822393,0.0068909533760641,0.760756201535145,-0.000627976,0.981056949382076,-0.007783582,0.68321206407693,0,1,0,1,0,1,1
Acetoacetate levels ,cfmet338,1,0.172711669328598,0.0895024202318673,0.0992975963040885,0.295547234228512,0,1,0,1,0,1,-0.038786696,0.888408598107808,0.033298729746018,0.790784239270056,0.234941421413508,0.145847988395287,0.0061108848857283,0.951822549968192,0,1,0,1,0,1,1
Acetylcarnitine (c2) levels ,cfmet338,1,0,1,0,1,-0.019089661,0.24194541376141,-0.041932207,0.124445758254269,-0.068959231,0.225832083665331,0,1,0,1,0,1,0,1,0.0103392825573136,0.748867985261597,0.0083062504388627,0.841103769456282,0.105601513442695,0.770656886005133,1
Acisoga levels ,cfmet338,1,0.0142502573838787,0.858991937003049,0.0392934304063538,0.623158713908644,-0.011302994,0.441381571663538,0.0035329384878333,0.886691817103596,0.0187792111704109,0.713612581505186,0.137196053650999,0.578124531956051,0.0439121013039874,0.650348723502031,0.0342217537001536,0.770939842902986,0.0049791616379534,0.953448309516789,-0.020641271,0.477068534340605,0.0382167546688156,0.276218189436513,0.162266481785288,0.485929221478942,1
