Row_Name,PhecodeString,coef,lower_CI,upper_CI,pvalue,PhecodeCategory
CD276,Triglycerides1,-0.058651834,-0.080990174,-0.036313495,2.67E-07,Biochemical indicators
CD276,Lymphocyte_percentage,-0.419368872,-0.587668385,-0.251069358,1.04E-06,Biochemical indicators
CD276,Eosinophill_percentage,0.096641868,0.055210308,0.138073427,4.85E-06,Biochemical indicators
CD276,Mean_platelet_thrombocyte_volume,0.05537464,0.031248788,0.079500492,6.86E-06,Biochemical indicators
CD276,Mean_sphered_cell_volume,0.271873674,0.152197834,0.391549515,8.51E-06,Biochemical indicators
CD276,Apolipoprotein_A1,-0.01253287,-0.018422353,-0.006643386,3.04E-05,Biochemical indicators
CD276,Reticulocyte_percentage,-0.042150574,-0.06262091,-0.021680238,5.45E-05,Biochemical indicators
CD276,High_light_scatter_reticulocyte_percentage,-0.009532376,-0.014813285,-0.004251466,4.04E-04,Biochemical indicators
CD276,Gamma_glutamyltransferase,1.589294101,0.658501064,2.520087139,8.19E-04,Biochemical indicators
CD276,Platelet_distribution_width,0.019167014,0.007588094,0.030745934,0.001177782,Biochemical indicators
CD276,Mean_corpuscular_haemoglobin_concentration,-0.037633197,-0.060716863,-0.014549531,0.001397656,Biochemical indicators
CD276,Immature_reticulocyte_fraction,-0.002226732,-0.003600875,-8.53E-04,0.001494045,Biochemical indicators
CD276,Testosterone,-0.099625754,-0.16305808,-0.036193428,0.002083261,Biochemical indicators
CD276,Monocyte_count,0.006872129,0.002326935,0.011417322,0.003044318,Biochemical indicators
CD276,Nucleated_red_blood_cell_percentage,-0.013509226,-0.022823711,-0.004194741,0.004476236,Biochemical indicators
CD276,C_reactive_protein,0.142151611,0.042346585,0.241956637,0.005247517,Biochemical indicators
CD276,Neutrophill_percentage,0.267952168,0.075650359,0.460253976,0.00631651,Biochemical indicators
CD276,Basophill_count,0.001564651,4.34E-04,0.002695564,0.006696941,Biochemical indicators
CD276,Oestradiol,31.28830299,8.024012727,54.55259326,0.008406628,Biochemical indicators
CD276,Total_bilirubin,0.109405579,0.012157985,0.206653173,0.027458862,Biochemical indicators
CD276,Neutrophill_count,0.035030773,0.003348576,0.066712971,0.030230762,Biochemical indicators
CD276,Mean_corpuscular_haemoglobin,-0.043141822,-0.085123996,-0.001159647,0.044004284,Biochemical indicators
CD276,HDL_cholesterol1,0.006659203,-0.001511881,0.014830288,0.110202705,Biochemical indicators
CD276,Urate,-1.267752925,-2.837860166,0.302354317,0.113534112,Biochemical indicators
CD276,Monocyte_percentage,0.045420919,-0.012545384,0.103387223,0.124599443,Biochemical indicators
CD276,White_blood_cell_leukocyte_count,0.035898588,-0.01011374,0.081910915,0.126232812,Biochemical indicators
CD276,Basophill_percentage,0.009974718,-0.003059582,0.023009019,0.133648028,Biochemical indicators
CD276,Lymphocyte_count,-0.013922748,-0.03931616,0.011470663,0.282553491,Biochemical indicators
CD276,Alanine_aminotransferase,-0.157723827,-0.466587783,0.15114013,0.316894224,Biochemical indicators
CD276,Nucleated_red_blood_cell_count,-3.70E-04,-0.00115747,4.18E-04,0.357646881,Biochemical indicators
CD276,Rheumatoid_factor,0.594906413,-0.911575387,2.101388214,0.438981877,Biochemical indicators
CD276,Mean_corpuscular_volume,-0.030253063,-0.132607166,0.07210104,0.562381681,Biochemical indicators
CD276,Lipoprotein_A,0.160466688,-1.080296185,1.401229561,0.799898469,Biochemical indicators
CD276,Impedance_of_leg_right,-10.31142138,-11.04077161,-9.582071157,1.08E-167,Body exam
CD276,Impedance_of_leg_left,-10.32196719,-11.05219075,-9.591743625,1.24E-167,Body exam
CD276,Leg_predicted_mass_right,0.270651798,0.245104438,0.296199158,2.38E-95,Body exam
CD276,Leg_fat_free_mass_right,0.28788476,0.26064291,0.315126611,6.90E-95,Body exam
CD276,Impedance_of_whole_body,-15.65936275,-17.16217943,-14.15654608,2.56E-92,Body exam
CD276,Leg_fat_free_mass_left,0.264009974,0.23671421,0.291305738,7.50E-80,Body exam
CD276,Leg_predicted_mass_left,0.247213728,0.221625764,0.272801692,1.12E-79,Body exam
CD276,Whole_body_water_mass,0.91158994,0.807272746,1.015907134,1.44E-65,Body exam
CD276,Whole_body_fat_free_mass,1.222157079,1.080548771,1.363765387,5.27E-64,Body exam
CD276,Leg_fat_percentage_right,-1.004184963,-1.125213169,-0.883156757,2.63E-59,Body exam
CD276,Leg_fat_percentage_left,-0.931851892,-1.046809409,-0.816894375,1.07E-56,Body exam
CD276,Trunk_fat_free_mass,0.574644863,0.501492261,0.647797466,2.32E-53,Body exam
CD276,Trunk_predicted_mass,0.54748105,0.477107213,0.617854888,2.25E-52,Body exam
CD276,Basal_metabolic_rate,144.84319,125.929053,163.757327,8.30E-51,Body exam
CD276,Body_fat_percentage,-0.807955632,-0.947267898,-0.668643367,6.66E-30,Body exam
CD276,Arm_fat_free_mass_right,0.053593917,0.043683481,0.063504353,3.21E-26,Body exam
CD276,Trunk_fat_percentage,-0.860226186,-1.019846922,-0.70060545,4.74E-26,Body exam
CD276,Arm_predicted_mass_left,0.053778198,0.043779832,0.063776565,5.90E-26,Body exam
CD276,Arm_predicted_mass_right,0.05009214,0.040754313,0.059429967,7.93E-26,Body exam
CD276,Arm_fat_free_mass_left,0.056521868,0.045911217,0.067132519,1.72E-25,Body exam
CD276,Impedance_of_arm_left,-4.23534822,-5.117118249,-3.353578192,4.97E-21,Body exam
CD276,DBP,-1.093886105,-1.333707698,-0.854064513,4.03E-19,Body exam
CD276,Impedance_of_arm_right,-3.571970108,-4.435576079,-2.708364137,5.32E-16,Body exam
CD276,Weight,1.202675672,0.890108786,1.515242558,4.73E-14,Body exam
CD276,BMI.y,0.214017252,0.110045761,0.317988744,5.48E-05,Body exam
CD276,Arm_fat_mass_right,0.027875233,0.014271167,0.041479299,5.93E-05,Body exam
CD276,Arm_fat_percentage_left,-0.335600251,-0.501852046,-0.169348455,7.62E-05,Body exam
CD276,Arm_fat_mass_left,0.030425624,0.015238864,0.045612384,8.63E-05,Body exam
CD276,Arm_fat_percentage_right,-0.316257156,-0.480721532,-0.15179278,1.64E-04,Body exam
CD276,Trunk_fat_mass,-0.102362742,-0.216562413,0.01183693,0.078956261,Body exam
CD276,SBP,-0.353748926,-0.771199526,0.063701674,0.096744372,Body exam
CD276,Leg_fat_mass_right,-0.02891822,-0.063683217,0.005846778,0.103036729,Body exam
CD276,Leg_fat_mass_left,-0.025237326,-0.059110273,0.008635622,0.144217482,Body exam
CD276,Whole_body_fat_mass,-0.063360484,-0.268271242,0.141550275,0.544490541,Body exam
CD276,alcohol_0,-2.986770923,-4.446660288,-1.526881557,6.14E-05,Food intake
CD276,energy_beverages_0,-123.2534176,-185.2324229,-61.27441222,9.81E-05,Food intake
CD276,wine_white_0,-12.13605286,-19.49881837,-4.773287349,0.001241065,Food intake
CD276,potatoes_fried_roast_0,-7.158782277,-11.73587116,-2.581693396,0.002181655,Food intake
CD276,apples_pears_0,8.237813074,2.921358589,13.55426756,0.002398778,Food intake
CD276,yogurt_low_FA_0,5.337209893,1.756335081,8.918084705,0.003497281,Food intake
CD276,selenium_0,-2.688470017,-4.543585571,-0.833354463,0.004518654,Food intake
CD276,sweetened_beverages_low_sugar_0,18.31217285,5.344076349,31.28026934,0.005661221,Food intake
CD276,sugars_intrinsic_milk_0,2.513535819,0.676603508,4.350468129,0.00733834,Food intake
CD276,iodine_0,-10.12261542,-17.62390909,-2.621321746,0.008190727,Food intake
CD276,biotin_0,-1.562217451,-2.762349649,-0.362085252,0.010753801,Food intake
CD276,niacin_equivalent_0,-1.142496239,-2.02290164,-0.262090838,0.010998607,Food intake
CD276,n6_FA_0,-0.461767402,-0.839309746,-0.084225058,0.016547024,Food intake
CD276,protein_animal_0,-1.88227046,-3.459461977,-0.305078943,0.019359558,Food intake
CD276,fish_white_tinned_tu_0,-2.540898552,-4.724787154,-0.357009951,0.022616288,Food intake
CD276,sugars_other_0,0.244153771,0.030894375,0.457413167,0.024870522,Food intake
CD276,n3_FA_0,-0.082188118,-0.154717281,-0.009658955,0.026384779,Food intake
CD276,nitrogen_total_0,-0.323770759,-0.609693294,-0.037848223,0.026491368,Food intake
CD276,fruit_other_0,7.346645922,0.826011711,13.86728013,0.02725998,Food intake
CD276,protein_0,-2.073147242,-3.916259654,-0.230034829,0.027516323,Food intake
CD276,breaded_battered_fish_0,-2.068488377,-3.928001391,-0.208975362,0.029274286,Food intake
CD276,shellfish_0,-1.016875307,-1.95537626,-0.078374354,0.033735729,Food intake
CD276,pork_0,-2.069180011,-3.989931762,-0.148428261,0.034771944,Food intake
CD276,cholesterol_0,-12.05373398,-23.36057887,-0.746889078,0.036705446,Food intake
CD276,wine_red_0,-9.135332884,-17.88380119,-0.386864577,0.040731788,Food intake
CD276,MUFA_0,-0.830969362,-1.62903901,-0.032899714,0.041312559,Food intake
CD276,potassium_0,-80.06012979,-157.4323581,-2.687901495,0.042593261,Food intake
CD276,sauces_high_FA_0,-1.276847,-2.511373796,-0.042320203,0.042685251,Food intake
CD276,fat_vegetable_0,-1.193030413,-2.364361841,-0.021698985,0.045943573,Food intake
CD276,VB6_0,-0.049150138,-0.097831502,-4.69E-04,0.047874091,Food intake
CD276,iron_haem_0,-0.034678457,-0.071305822,0.001948908,0.063542418,Food intake
CD276,potatoes_mashed_0,-3.086384918,-6.393897186,0.221127351,0.067453542,Food intake
CD276,meat_processed_0,-1.890153994,-3.977880554,0.197572565,0.076027573,Food intake
CD276,magnesium_0,-5.949050532,-12.7830519,0.884950839,0.088022692,Food intake
CD276,energy_0,-154.8893942,-333.5727698,23.79398147,0.089370058,Food intake
CD276,peas_sweetcorn_0,-1.125437921,-2.440324553,0.18944871,0.093475934,Food intake
CD276,VE_0,-0.285117828,-0.623544228,0.053308573,0.098736694,Food intake
CD276,lactose_0,0.438760383,-0.082470377,0.959991142,0.099018439,Food intake
CD276,salted_nuts_0,-0.609538958,-1.33854127,0.119463353,0.101304757,Food intake
CD276,bread_other_0,1.684657694,-0.339641493,3.708956882,0.102911394,Food intake
CD276,beer_cider_0,-22.03665343,-49.57699646,5.503689603,0.116861076,Food intake
CD276,meat_offal_0,0.62166024,-0.169903314,1.413223794,0.123783821,Food intake
CD276,cheese_low_FA_0,0.526300504,-0.15107583,1.203676838,0.127846768,Food intake
CD276,milk_skimmed_cholesterol_lowering_0,4.827264496,-1.486647811,11.1411768,0.134054688,Food intake
CD276,folate_0,-5.866422205,-13.54699063,1.814146219,0.134433477,Food intake
CD276,plant_based_spread_lower_FA_0,0.301609106,-0.095163505,0.698381716,0.136301971,Food intake
CD276,calcium_0,18.75432813,-5.935720542,43.44437681,0.136593684,Food intake
CD276,plant_based_spread_normal_0,-0.35084997,-0.829882648,0.128182708,0.151188948,Food intake
CD276,crackers_0,0.522718985,-0.196763963,1.242201933,0.154505182,Food intake
CD276,VB12_0,-0.171443302,-0.40771221,0.064825606,0.155012182,Food intake
CD276,coffee_decaffeited_0,-6.728481243,-16.2358052,2.778842717,0.165457056,Food intake
CD276,biscuits_0,0.892107035,-0.403744446,2.187958516,0.177283673,Food intake
CD276,cheese_high_FA_0,0.927224522,-0.419936814,2.274385857,0.177379873,Food intake
CD276,milk_rice_oat_0,0.582578606,-0.26734418,1.432501392,0.179168918,Food intake
CD276,fat_0,-1.406798894,-3.464039429,0.650441641,0.18019904,Food intake
CD276,meatsubstitutes_vegetarian_0,0.902717694,-0.516853652,2.32228904,0.212675362,Food intake
CD276,copper_0,-0.023476184,-0.060475382,0.013523014,0.213686424,Food intake
CD276,VD_0,-0.132102797,-0.341136381,0.076930786,0.215522179,Food intake
CD276,cream_0,0.180738096,-0.105726045,0.467202238,0.216279595,Food intake
CD276,samosa_0,-0.268902728,-0.701398298,0.163592843,0.223037292,Food intake
CD276,berries_0,0.743498585,-0.459541166,1.946538336,0.225825698,Food intake
CD276,sugars_total_0,2.078229188,-1.386819514,5.543277889,0.239825027,Food intake
CD276,spirits_0,-0.469599309,-1.255108702,0.315910083,0.241349677,Food intake
CD276,cereal_other_sugar_0,0.463049789,-0.311970091,1.238069669,0.241632735,Food intake
CD276,milk_whole_0,2.365924505,-1.599907284,6.331756294,0.242335461,Food intake
CD276,animal_FA_spread_lower_FA_0,0.151898259,-0.107795036,0.411591553,0.251665169,Food intake
CD276,bread_brown_seeded_mixed_0,-1.543486288,-4.193201334,1.106228758,0.253618764,Food intake
CD276,cereal_oat_nonsugar_0,2.630060409,-1.894334778,7.154455596,0.254601058,Food intake
CD276,sodium_0,-31.78365647,-86.821488,23.25417507,0.257734977,Food intake
CD276,sweets_other_0,0.5015082,-0.377861372,1.380877773,0.263701752,Food intake
CD276,animal_FA_spread_normal_0,-0.362064643,-0.997489898,0.273360612,0.264125038,Food intake
CD276,olive_oil_0,-0.052842758,-0.146967335,0.041281819,0.271218456,Food intake
CD276,cereal_biscuit_0,0.53616282,-0.420828416,1.493154056,0.272204801,Food intake
CD276,iron_0,-0.156057382,-0.436233418,0.124118654,0.275005256,Food intake
CD276,coffee_caffeited_0,9.659221361,-7.705501685,27.02394441,0.275645313,Food intake
CD276,fructose_0,0.562348047,-0.450694066,1.575390159,0.276636617,Food intake
CD276,fruit_juice_0,-5.632082931,-15.94583261,4.681666751,0.284527319,Food intake
CD276,water_0,14.02205089,-11.78971079,39.83381256,0.287032686,Food intake
CD276,bread_white_0,1.783791219,-1.613016435,5.180598873,0.303398039,Food intake
CD276,thiamin_0,-0.026994829,-0.078720608,0.024730949,0.306403902,Food intake
CD276,nut_based_spread_0,-0.074085779,-0.216716297,0.068544739,0.308688418,Food intake
CD276,milk_drinks_0,3.727784947,-3.708281415,11.16385131,0.325862332,Food intake
CD276,egg_0,-1.421950895,-4.295820737,1.451918947,0.332198707,Food intake
CD276,meat_substitutes_soy_0,-0.228054804,-0.694744834,0.238635226,0.338215075,Food intake
CD276,fruit_dried_0,0.755047338,-0.795673686,2.305768361,0.339961212,Food intake
CD276,milk_semi_skimmed_0,-4.44757437,-13.77399284,4.878844105,0.349993256,Food intake
CD276,carotene_alpha_0,-23.21226292,-72.41337043,25.98884459,0.355165633,Food intake
CD276,wholemeal_pasta_brown_rice_other_wholegrains_0,1.2378453,-1.400621955,3.876312554,0.357854106,Food intake
CD276,wine_fortified_0,0.263470663,-0.30769856,0.834639886,0.365975003,Food intake
CD276,vegetable_other_0,-2.429367101,-7.752699383,2.893965182,0.371110669,Food intake
CD276,iron_nonhaem_0,-0.122435104,-0.390812864,0.145942657,0.371276033,Food intake
CD276,pantothenic_acid_0,-0.067670992,-0.218478516,0.083136533,0.379169939,Food intake
CD276,maltose_0,-0.207341832,-0.675731922,0.261048259,0.38563506,Food intake
CD276,VA_retinol_equivalents_0,-28.56152745,-96.87039872,39.74734383,0.41252584,Food intake
CD276,chloride_0,-34.88327948,-121.1232535,51.35669449,0.427928958,Food intake
CD276,retinol_0,-23.41444957,-81.78099226,34.95209311,0.431740222,Food intake
CD276,phosphorus_0,-11.47363562,-40.38047565,17.43320442,0.436628547,Food intake
CD276,sweetened_beverages_sugar_0,-4.794854181,-17.03083932,7.441130958,0.442488998,Food intake
CD276,sucrose_0,0.670458121,-1.113067592,2.453983835,0.461278617,Food intake
CD276,glucose_0,0.342348032,-0.577834635,1.2625307,0.465909035,Food intake
CD276,tomatoes_0,1.390774222,-2.356901436,5.13844988,0.467037032,Food intake
CD276,legumes_pulses_0,-0.859644687,-3.186686146,1.467396771,0.469065365,Food intake
CD276,milk_soy_0,-0.980275667,-3.727567366,1.767016032,0.48436,Food intake
CD276,cereal_oat_sugar_0,-0.25391203,-0.967459646,0.459635586,0.485549451,Food intake
CD276,green_leafy_cabbages_0,-1.18323149,-4.618060275,2.251597295,0.499590843,Food intake
CD276,Zinc_0,-0.084157594,-0.334482436,0.166167248,0.509964527,Food intake
CD276,fruit_stewed_0,-0.77433023,-3.106104548,1.557444087,0.515158372,Food intake
CD276,pizza_0,1.302068384,-2.692984293,5.297121062,0.522979583,Food intake
CD276,unsalted_nuts_0,-0.229774001,-0.987271934,0.527723932,0.55218293,Food intake
CD276,riboflavin_0,0.013451404,-0.031227285,0.058130092,0.555152373,Food intake
CD276,added_sugars_preserves_0,-0.29187378,-1.269321288,0.685573728,0.558391275,Food intake
CD276,sugar_free_0,-0.721427242,-3.23831795,1.795463466,0.574275387,Food intake
CD276,desserts_soy_yogurt_0,0.180042019,-0.450854535,0.810938572,0.575958493,Food intake
CD276,desserts_other_0,0.817584259,-2.10584621,3.741014728,0.583616705,Food intake
CD276,poultry_0,-1.029251623,-4.733481646,2.674978401,0.586051403,Food intake
CD276,vegetable_allium_0,-0.412375275,-1.926240044,1.101489494,0.593433304,Food intake
CD276,vegetable_side_dishes_0,-0.374231554,-1.800331585,1.051868477,0.607040566,Food intake
CD276,salad_raw_0,-0.618150385,-3.033484422,1.797183652,0.615958852,Food intake
CD276,protein_vegetable_0,-0.190877188,-0.94720103,0.565446655,0.620865941,Food intake
CD276,white_pasta_rice_0,-1.32063827,-6.583713157,3.942436616,0.62287329,Food intake
CD276,yogurt_full_FA_0,-0.459633865,-2.303670791,1.384403062,0.625190625,Food intake
CD276,bread_wholemeal_0,-0.744325572,-3.733621912,2.244970769,0.625547675,Food intake
CD276,starch_0,-0.863769803,-4.424723907,2.697184301,0.634500935,Food intake
CD276,grain_added_FA_0,0.3086208,-1.160593349,1.77783495,0.680567052,Food intake
CD276,carbohydrate_0,1.190142777,-4.545152584,6.925438139,0.684229149,Food intake
CD276,muesli_0,-0.304668373,-1.871951448,1.262614701,0.703213016,Food intake
CD276,lamb_0,-0.37920998,-2.4729383,1.714518339,0.722613215,Food intake
CD276,sugarsnon_milk_extrinsic_0,-0.432585588,-2.99661743,2.131446254,0.740902714,Food intake
CD276,chocolate_confectionery_0,0.249805228,-1.267813472,1.767423928,0.74699528,Food intake
CD276,soups_0,0.765449424,-4.233729794,5.764628642,0.764109993,Food intake
CD276,fat_animal_0,-0.213773465,-1.619376661,1.19182973,0.765647788,Food intake
CD276,carotene_total_0,-30.80592916,-239.5742059,177.9623476,0.772427044,Food intake
CD276,vegetable_dips_0,0.035710301,-0.265253873,0.336674475,0.816113417,Food intake
CD276,fish_oily_0,-0.234967531,-2.225300954,1.755365892,0.817024698,Food intake
CD276,carotene_beta_0,-20.58904594,-200.6214384,159.4433465,0.822649277,Food intake
CD276,breaded_battered_chicken_0,-0.1696223,-1.687654376,1.348409777,0.82665419,Food intake
CD276,potatoes_baked_boiled_0,-0.611215519,-6.196728135,4.974297096,0.83018195,Food intake
CD276,englyst_fibre_0,0.052603044,-0.430640419,0.535846508,0.831060163,Food intake
CD276,citrus_0,0.367939847,-3.324514765,4.060394459,0.845161215,Food intake
CD276,beef_0,-0.2972334,-3.395547732,2.801080932,0.850861022,Food intake
CD276,cryptoxanthin_beta_0,2.674052943,-26.97675084,32.32485673,0.859702865,Food intake
CD276,SFA_0,0.064009785,-0.789242433,0.917262002,0.883109685,Food intake
CD276,vegetable_root_0,-0.151748279,-2.352693184,2.049196627,0.892510354,Food intake
CD276,cereal_bran_0,-0.043963837,-0.857105395,0.769177721,0.915610288,Food intake
CD276,tea_decaffeited_0,-0.626112545,-13.03572842,11.78350333,0.921230334,Food intake
CD276,tea_0,-1.094969955,-23.40678299,21.21684308,0.92337502,Food intake
CD276,manganese_0,-0.003890539,-0.111093628,0.10331255,0.943296647,Food intake
CD276,desserts_dairy_0,-0.111187697,-3.335111001,3.112735607,0.94610931,Food intake
CD276,sauces_low_FA_0,0.033060054,-1.375899826,1.442019933,0.963320431,Food intake
CD276,VC_0,-0.057352278,-5.551704967,5.437000412,0.983677893,Food intake
CD276,sushi_0,0.010662078,-1.489331587,1.510655743,0.988884967,Food intake
CD276,savoury_scks_0,0.003153397,-1.195444048,1.201750842,0.995885891,Food intake
CD276,TFA_0,1.11E-05,-0.051053753,0.051075914,0.999660683,Food intake
CD276,Liking for garlic,-0.226730601,-0.30698144,-0.146479763,3.11E-08,Food liking
CD276,Liking for red wine,-0.272798456,-0.379151596,-0.166445317,5.02E-07,Food liking
CD276,Liking for extra virgin olive oil,-0.186677572,-0.26031864,-0.113036504,6.81E-07,Food liking
CD276,Liking for going to the pub,-0.216948475,-0.306927152,-0.126969798,2.31E-06,Food liking
CD276,Liking for bitter/ale,-0.227341894,-0.328182312,-0.126501477,9.99E-06,Food liking
CD276,Liking for onions,-0.145016761,-0.211179527,-0.078853994,1.75E-05,Food liking
CD276,Liking for shellfish (other than prawns),-0.255573275,-0.372882104,-0.138264445,1.96E-05,Food liking
CD276,Liking for capers,-0.233994298,-0.341412443,-0.126576153,1.97E-05,Food liking
CD276,Liking for chilli pepper,-0.212383527,-0.310154716,-0.114612338,2.08E-05,Food liking
CD276,Liking for avocados,-0.219300837,-0.32287797,-0.115723704,3.34E-05,Food liking
CD276,Liking for baked/steamed fish,-0.178631624,-0.263989641,-0.093273607,4.12E-05,Food liking
CD276,Liking for spirits,-0.219176642,-0.32497266,-0.113380623,4.92E-05,Food liking
CD276,Liking for soy sauce,-0.164963947,-0.245223417,-0.084704477,5.64E-05,Food liking
CD276,Liking for coriander,-0.186367465,-0.278212286,-0.094522644,7.00E-05,Food liking
CD276,Liking for biscuits,0.144657006,0.071189386,0.218124626,1.14E-04,Food liking
CD276,Liking for asparagus,-0.174296811,-0.263978036,-0.084615586,1.40E-04,Food liking
CD276,Liking for lentils/beans,-0.137903347,-0.210988128,-0.064818566,2.18E-04,Food liking
CD276,Liking for haddock,-0.149378828,-0.229494168,-0.069263487,2.58E-04,Food liking
CD276,Liking for sardines,-0.190761308,-0.293389849,-0.088132768,2.70E-04,Food liking
CD276,Liking for smoked fish,-0.175062435,-0.270089419,-0.080035451,3.06E-04,Food liking
CD276,Liking for black pepper,-0.140027912,-0.217419829,-0.062635996,3.92E-04,Food liking
CD276,Liking for lager,-0.176432138,-0.275182853,-0.077681422,4.63E-04,Food liking
CD276,Liking for whisky,-0.187800966,-0.294482703,-0.08111923,5.61E-04,Food liking
CD276,Liking for burn of spicy foods,-0.177595412,-0.278779166,-0.076411658,5.83E-04,Food liking
CD276,Liking for sweet foods,0.141778567,0.060746975,0.222810159,6.07E-04,Food liking
CD276,Liking for spinach,-0.142844714,-0.224880832,-0.060808596,6.44E-04,Food liking
CD276,Liking for aubergine,-0.171366306,-0.27004883,-0.072683782,6.67E-04,Food liking
CD276,Liking for cake,0.128773729,0.053875661,0.203671798,7.54E-04,Food liking
CD276,Liking for globe artichoke,-0.198052454,-0.313400728,-0.08270418,7.66E-04,Food liking
CD276,Liking for roast chicken,-0.136098462,-0.215634769,-0.056562154,7.99E-04,Food liking
CD276,Liking for taking the stairs,-0.114141023,-0.181357499,-0.046924547,8.76E-04,Food liking
CD276,Liking for curry,-0.147430528,-0.234292397,-0.060568659,8.81E-04,Food liking
CD276,Liking for salmon,-0.141167869,-0.225661028,-0.05667471,0.001060002,Food liking
CD276,Liking for chicken,-0.131783411,-0.210711544,-0.052855278,0.001068099,Food liking
CD276,Liking for bolognese sauce,-0.135045689,-0.216113752,-0.053977626,0.001096812,Food liking
CD276,Liking for black olives,-0.190920531,-0.307206219,-0.074634844,0.001293551,Food liking
CD276,Liking for barbequed or grilled meat,-0.147421777,-0.239537102,-0.055306453,0.001711166,Food liking
CD276,Liking for lamb,-0.155816745,-0.253296379,-0.058337112,0.001733593,Food liking
CD276,Liking for herring,-0.17027765,-0.276929756,-0.063625544,0.001755507,Food liking
CD276,Liking for cabbage,-0.11018056,-0.180602987,-0.039758132,0.002169066,Food liking
CD276,Liking for vegetables,-0.067036676,-0.111371241,-0.02270211,0.003044712,Food liking
CD276,Liking for red meat,-0.133152496,-0.222604264,-0.043700729,0.003533055,Food liking
CD276,Liking for lemons,-0.104165629,-0.177085003,-0.031246256,0.005118609,Food liking
CD276,Liking for gherkins,-0.1503006,-0.257064603,-0.043536597,0.005800074,Food liking
CD276,Liking for white wine,-0.137419558,-0.235035568,-0.039803547,0.005801027,Food liking
CD276,Liking for cake icing,0.134457469,0.038732315,0.230182624,0.005911024,Food liking
CD276,Liking for marzipan,0.147648751,0.041712424,0.253585078,0.006306996,Food liking
CD276,Liking for broad beans,-0.124386964,-0.214070473,-0.034703455,0.006566503,Food liking
CD276,Liking for beef steak,-0.133416171,-0.229727977,-0.037104366,0.006633016,Food liking
CD276,Liking for spicy foods,-0.124195889,-0.215344403,-0.033047374,0.007578821,Food liking
CD276,Liking for pork chop,-0.128983715,-0.223844264,-0.034123166,0.007705706,Food liking
CD276,Liking for bell pepper,-0.147623587,-0.257254252,-0.037992921,0.008317449,Food liking
CD276,Liking for mackerel,-0.137342204,-0.239458147,-0.035226262,0.008394211,Food liking
CD276,Liking for butternut squash,-0.13221445,-0.230752105,-0.033676795,0.008550471,Food liking
CD276,Liking for burgers (meat),-0.122415351,-0.215233813,-0.029596888,0.009747559,Food liking
CD276,Liking for bitter foods,-0.108905595,-0.191548883,-0.026262307,0.00980807,Food liking
